"Airport Name",Reason,"Cancelations for Reason"
" Sawyer International",Weather,10
" Monterey Regional",Weather,6
" Dane County Regional-Truax Field","National Air System",13
" Missoula International",Weather,2
" Minneapolis-St Paul International","National Air System",386
" Louis Armstrong New Orleans International","National Air System",139
" Montrose Regional","National Air System",2
" Myrtle Beach International",Weather,17
" Albert J Ellis","National Air System",7
" Metropolitan Oakland International",Weather,34
" Ogden-Hinckley",Weather,1
" Kahului Airport",Carrier,10
" Ogdensburg International","National Air System",1
" Will Rogers World","National Air System",13
" Eppley Airfield","National Air System",25
" Nome Airport",Weather,1
" Ontario International",Weather,7
" Chicago O'Hare International","National Air System",272
" Norfolk International","National Air System",92
" Worcester Regional",Weather,2
" Southwest Oregon Regional",Weather,1
" Ralph Wien Memorial",Weather,1
" Owensboro Daviess County Regional","National Air System",2
" Barkley Regional","National Air System",6
" Plattsburgh International",Weather,3
" Palm Beach International","National Air System",78
" Portland International","National Air System",29
" Punta Gorda Airport",Weather,4
" Newport News/Williamsburg International",Weather,5
" Philadelphia International","National Air System",199
" Phoenix Sky Harbor International","National Air System",72
" General Downing - Peoria International","National Air System",6
" St Pete Clearwater International",Weather,7
" Pocatello Regional",Weather,1
" Pittsburgh International","National Air System",56
" Pellston Regional Airport of Emmet County",Weather,12
" Pensacola International","National Air System",16
" Tri Cities",Weather,7
" Mercedita",Weather,3
" Petersburg James A Johnson",Weather,4
" Portsmouth International at Pease",Weather,1
" Palm Springs International","National Air System",6
" Theodore Francis Green State","National Air System",69
" Portland International Jetport","National Air System",33
" Rapid City Regional",Weather,9
" Redding Municipal","National Air System",2
" Roberts Field",Weather,7
" Raleigh-Durham International","National Air System",162
" Rhinelander/Oneida County",Weather,4
" Richmond International","National Air System",37
" Southwest Wyoming Regional",Weather,2
" Reno/Tahoe International",Weather,8
" Roanoke Blacksburg Regional Woodrum Field","National Air System",5
" Greater Rochester International","National Air System",17
" Rochester International",Weather,4
" Southwest Florida International","National Air System",75
" San Diego International","National Air System",69
" San Antonio International",Weather,63
" Savannah/Hilton Head International","National Air System",37
" Santa Barbara Municipal",Weather,4
" South Bend International",Weather,19
" San Luis County Regional","National Air System",10
" University Park",Weather,1
" Louisville Muhammad Ali International","National Air System",21
" Seattle/Tacoma International","National Air System",65
" Orlando Sanford International","National Air System",6
" San Francisco International","National Air System",162
" Springfield-Branson National","National Air System",9
" St George Regional",Weather,1
" Shreveport Regional","National Air System",7
" Sitka Rocky Gutierrez",Carrier,3
" Norman Y. Mineta San Jose International","National Air System",25
" Luis Munoz Marin International",Weather,27
" Salt Lake City International","National Air System",65
" Sacramento International","National Air System",14
" John Wayne Airport-Orange County","National Air System",18
" Abraham Lincoln Capital","National Air System",3
" Sarasota/Bradenton International",Weather,13
" St Louis Lambert International","National Air System",64
" Charles M. Schulz - Sonoma County",Weather,6
" Cyril E King",Carrier,2
" Henry E. Rohlsen",Carrier,1
" Friedman Memorial",Weather,18
" New York Stewart International",Weather,8
" Syracuse Hancock International","National Air System",27
" Tallahassee International",Weather,5
" Toledo Express",Weather,1
" Tampa International","National Air System",122
" Tri Cities",Weather,1
" Trenton Mercer",Weather,8
" Tulsa International","National Air System",11
" Tucson International",Weather,8
" Cherry Capital",Weather,2
" Joslin Field - Magic Valley Regional",Weather,1
" McGhee Tyson","National Air System",7
" Quincy Regional-Baldwin Field","National Air System",8
" Valdosta Regional","National Air System",2
" Eglin AFB Destin Fort Walton Beach","National Air System",2
" Wrangell Airport",Weather,3
" Northwest Arkansas Regional","National Air System",10
" Yakutat Airport",Weather,1
